,Youtuber,Comments,Word Count,Char Length,Polarity Scores,Emotion
3417,CoryxKenshin,cory know many times come home stressful day watch go answer stress help darkest times bringing back thank 😀,19,108,"{'roberta_neg': 0.08376882, 'roberta_neu': 0.5480566, 'roberta_pos': 0.3681746}",1
3418,CoryxKenshin,y39all see fast cory switched eleanor 😂😂 first says eleanor dead tripp talks starts getting little hype 😂😂 “i pushing thatquot makes creepy face😋😋😂😂😂😐😏,24,151,"{'roberta_neg': 0.33279318, 'roberta_neu': 0.5488306, 'roberta_pos': 0.11837619}",1
3419,CoryxKenshin,random lady “sorry rest go straight quarantine”brpeople 2020 😐,9,62,"{'roberta_neg': 0.71476805, 'roberta_neu': 0.26518625, 'roberta_pos': 0.020045707}",0
3424,CoryxKenshin,javi “i doubt he’ll mind” one getting joke watching multiple times 😃,12,68,"{'roberta_neg': 0.14514774, 'roberta_neu': 0.66237015, 'roberta_pos': 0.19248208}",1
3425,CoryxKenshin,made sad kenny didn’t get see aj grow say first word watch like lee,14,67,"{'roberta_neg': 0.58136916, 'roberta_neu': 0.38805825, 'roberta_pos': 0.030572612}",0
3426,CoryxKenshin,love rewatching older cory vids,5,31,"{'roberta_neg': 0.0022967113, 'roberta_neu': 0.029960044, 'roberta_pos': 0.9677432}",2
3427,CoryxKenshin,cory bat beginningb nobody gonna die episode bralso cory bbashes badgers head baseball batb yesssss lets goo😂😂😂❤️,17,113,"{'roberta_neg': 0.0017522548, 'roberta_neu': 0.05383711, 'roberta_pos': 0.94441056}",2
3431,CoryxKenshin,david’s face tho clem said “her friend took crowbar once”,10,57,"{'roberta_neg': 0.2282825, 'roberta_neu': 0.7438356, 'roberta_pos': 0.027881889}",1
3432,CoryxKenshin,max i39m glad kept alive got emotional started begging knees live agree cory wasn39t savage life even turned frontier went side would killed anyway badger real idiot,27,165,"{'roberta_neg': 0.22392273, 'roberta_neu': 0.45761448, 'roberta_pos': 0.31846276}",1
3433,CoryxKenshin,grow wanna kick problems face like paul☺,7,40,"{'roberta_neg': 0.06727708, 'roberta_neu': 0.5931076, 'roberta_pos': 0.3396153}",1
3436,CoryxKenshin,yo video dying love cory feels like hes game roasting,10,53,"{'roberta_neg': 0.21160132, 'roberta_neu': 0.40831417, 'roberta_pos': 0.38008448}",1
3438,CoryxKenshin,else balled eyes aj called clem 😭😭😭,7,35,"{'roberta_neg': 0.6296186, 'roberta_neu': 0.33214226, 'roberta_pos': 0.03823919}",0
3439,CoryxKenshin,else dying intro😂lol,3,20,"{'roberta_neg': 0.1737461, 'roberta_neu': 0.5435639, 'roberta_pos': 0.28269}",1
3440,CoryxKenshin,paul lowkey goat,3,16,"{'roberta_neg': 0.17506489, 'roberta_neu': 0.6667065, 'roberta_pos': 0.15822868}",1
3442,CoryxKenshin,walking dead goated game man love corys reaction every game plays wish able see season 2 cory see reaction season,20,113,"{'roberta_neg': 0.0075054583, 'roberta_neu': 0.05181803, 'roberta_pos': 0.9406765}",2
3444,CoryxKenshin,“kate wanna date brothers im done”😂😂😂,6,37,"{'roberta_neg': 0.2477676, 'roberta_neu': 0.6673939, 'roberta_pos': 0.08483846}",1
3448,CoryxKenshin,think one games cory constantly confused stressed,7,49,"{'roberta_neg': 0.69365406, 'roberta_neu': 0.29347506, 'roberta_pos': 0.012870858}",0
3451,CoryxKenshin,joan it’s something i’m going live withbrcory ain’t gonna live,10,62,"{'roberta_neg': 0.26260626, 'roberta_neu': 0.65850735, 'roberta_pos': 0.07888644}",1
3452,CoryxKenshin,even though got triggered choices still loved thinking reactions,9,64,"{'roberta_neg': 0.051233944, 'roberta_neu': 0.40490833, 'roberta_pos': 0.5438577}",2
3456,CoryxKenshin,fact true stories makes game much scary unless that’s cap either way it’s still scary well made game course watching cory playing makes better,24,142,"{'roberta_neg': 0.30831522, 'roberta_neu': 0.46731374, 'roberta_pos': 0.22437105}",1
3457,CoryxKenshin,first jumpscare made soul go outside body fall back,9,51,"{'roberta_neg': 0.037607428, 'roberta_neu': 0.792057, 'roberta_pos': 0.1703356}",1
3458,CoryxKenshin,“if cant you… none should” really hit yandere 😂,9,47,"{'roberta_neg': 0.20459056, 'roberta_neu': 0.6986205, 'roberta_pos': 0.09678902}",1
3461,CoryxKenshin,cory legend finding weirdest horror games,6,41,"{'roberta_neg': 0.527825, 'roberta_neu': 0.43256772, 'roberta_pos': 0.0396073}",0
3464,CoryxKenshin,fact she’s standing waiting scare makes scarier,7,47,"{'roberta_neg': 0.79721636, 'roberta_neu': 0.19222434, 'roberta_pos': 0.010559265}",0
3465,CoryxKenshin,cory realizing it’s berleezy voice berleezy realized voice hilarious yet wholesome 😂,12,84,"{'roberta_neg': 0.0058883945, 'roberta_neu': 0.15277578, 'roberta_pos': 0.84133583}",2
3466,CoryxKenshin,i39ve never gotten scared watching horror game video can39t imagine it39ll playing props devs,14,93,"{'roberta_neg': 0.3139632, 'roberta_neu': 0.48743483, 'roberta_pos': 0.19860202}",1
3467,CoryxKenshin,don’t scared easily corey’s reaction always makes jump watched exact gameplay flinches,12,86,"{'roberta_neg': 0.2075141, 'roberta_neu': 0.7030895, 'roberta_pos': 0.08939641}",1
3469,CoryxKenshin,know won’t ever see genuinely saved life many times cannot exaggerate enough truly changed much even tonight cheer least giving energy continue living thank much cory,26,166,"{'roberta_neg': 0.0101344455, 'roberta_neu': 0.07874556, 'roberta_pos': 0.91112}",2
3470,CoryxKenshin,it’s surprising many options take game like ignoring doorbell flowers you’ll able see clever detail cara walk away door,19,119,"{'roberta_neg': 0.07334807, 'roberta_neu': 0.48406404, 'roberta_pos': 0.44258794}",1
3471,CoryxKenshin,cory like cool uncle family gatherings doesn39t show often always makes sure best day life,15,90,"{'roberta_neg': 0.006488122, 'roberta_neu': 0.065269545, 'roberta_pos': 0.9282424}",2
3472,CoryxKenshin,fact mr carson kind enough get food snacks taking care house glad wasn39t grumpy client,15,87,"{'roberta_neg': 0.022961043, 'roberta_neu': 0.22742796, 'roberta_pos': 0.749611}",2
3474,CoryxKenshin,bro fact basedare true stories makes 10x scarier bro jumpscare got bad lmao,13,75,"{'roberta_neg': 0.8629545, 'roberta_neu': 0.12442428, 'roberta_pos': 0.0126212295}",0
3475,CoryxKenshin,first jump scare made go 20 stages v e r h n gb,13,47,"{'roberta_neg': 0.19422545, 'roberta_neu': 0.7559765, 'roberta_pos': 0.049798016}",1
3477,CoryxKenshin,cory make hour long vid feel like 10 minutes,9,44,"{'roberta_neg': 0.29665545, 'roberta_neu': 0.6075483, 'roberta_pos': 0.095796295}",1
3478,CoryxKenshin,fact game ended looked happy left smile face,8,44,"{'roberta_neg': 0.004911286, 'roberta_neu': 0.07487394, 'roberta_pos': 0.9202148}",2
3479,CoryxKenshin,cory i’ve watching 8 years you’ve helped really tough times thank always good humor vibes cheer everything,17,106,"{'roberta_neg': 0.00422029, 'roberta_neu': 0.03394298, 'roberta_pos': 0.9618367}",2
3480,CoryxKenshin,hey cory wanted say thank mom go work state i’m sitting crying miss comfort person funny make smile ease thank everything genuinely love thank much,25,147,"{'roberta_neg': 0.0059109647, 'roberta_neu': 0.04710233, 'roberta_pos': 0.9469867}",2
3482,CoryxKenshin,jumpscare shook core never shaken like jumpscare 😭 whole body seized second,12,75,"{'roberta_neg': 0.2792096, 'roberta_neu': 0.6120969, 'roberta_pos': 0.10869349}",1
3486,CoryxKenshin,hate creepy things cory makes better experience watch,8,53,"{'roberta_neg': 0.28241828, 'roberta_neu': 0.44758683, 'roberta_pos': 0.26999488}",1
3487,CoryxKenshin,jumpscare devious sitting cory rethinking entire life,7,53,"{'roberta_neg': 0.44227853, 'roberta_neu': 0.52273315, 'roberta_pos': 0.03498828}",1
3490,CoryxKenshin,bro helped thru much dad surgery crying started watching video’s everything went away thank bro,15,95,"{'roberta_neg': 0.0065897964, 'roberta_neu': 0.10283265, 'roberta_pos': 0.89057755}",2
3491,CoryxKenshin,bro part cory said sucka ate 3 gatorades laughing minutes😂,10,58,"{'roberta_neg': 0.69325197, 'roberta_neu': 0.26658922, 'roberta_pos': 0.040158845}",0
3492,CoryxKenshin,first jump scare soul fly heaven laughing hard reacted it😂😂😂😂,10,61,"{'roberta_neg': 0.08794696, 'roberta_neu': 0.47463158, 'roberta_pos': 0.4374214}",1
3493,CoryxKenshin,cory39s screams terrifying jumpscare whenever screams knowing somethings behind scares bad without even thinking he39s going 2 😭,18,128,"{'roberta_neg': 0.93273705, 'roberta_neu': 0.061137266, 'roberta_pos': 0.006125734}",0
3497,CoryxKenshin,jumpscare literally almost made jump bed lol,7,44,"{'roberta_neg': 0.061366003, 'roberta_neu': 0.5057022, 'roberta_pos': 0.43293178}",1
3500,CoryxKenshin,caused much anxiety stress oml like movie love sm bro,10,53,"{'roberta_neg': 0.39408413, 'roberta_neu': 0.40356994, 'roberta_pos': 0.20234595}",1
3501,CoryxKenshin,cory’s screams scary jump scares 😭,6,34,"{'roberta_neg': 0.5419528, 'roberta_neu': 0.39143318, 'roberta_pos': 0.066614024}",0
3506,CoryxKenshin,anyone needs context ending rachel dropped purse mentioned keys ripper took purse end got inside house kill know noise hear end heard ripper chasing sometimes,25,158,"{'roberta_neg': 0.22811261, 'roberta_neu': 0.75139534, 'roberta_pos': 0.020492004}",1
3509,Youtuber,comments,1,8,"{'roberta_neg': 0.18648346, 'roberta_neu': 0.6851768, 'roberta_pos': 0.12833972}",1
3510,Technoblade,thought chance financial security bbut deob,6,43,"{'roberta_neg': 0.20076217, 'roberta_neu': 0.7385434, 'roberta_pos': 0.060694356}",1
3511,Technoblade,see you’ve raised video budget,5,30,"{'roberta_neg': 0.07612918, 'roberta_neu': 0.8170444, 'roberta_pos': 0.10682638}",1
3514,Technoblade,sword wasn’t deadliest thing rest easy alex…,7,44,"{'roberta_neg': 0.28803205, 'roberta_neu': 0.64138985, 'roberta_pos': 0.07057811}",1
3515,Technoblade,totally would39ve watched whole video dog count increasing walks,9,64,"{'roberta_neg': 0.029631129, 'roberta_neu': 0.7461004, 'roberta_pos': 0.2242684}",1
3518,Technoblade,watching content feel empty rest peace techno,7,45,"{'roberta_neg': 0.6317868, 'roberta_neu': 0.32238406, 'roberta_pos': 0.045829136}",0
3519,Technoblade,hurts know next year two video life would change much rest peace techno miss much,15,81,"{'roberta_neg': 0.30302215, 'roberta_neu': 0.5301235, 'roberta_pos': 0.16685437}",1
3521,Technoblade,2 years ago scrolling youtube found video lead many amazing people comunitys truly couldnt greatfull today learnt legend passed thankyou everything techno touched lives many people could possibly imagine fly high blood god 👑♥,34,225,"{'roberta_neg': 0.009246298, 'roberta_neu': 0.056209628, 'roberta_pos': 0.9345441}",2
3522,Technoblade,even though tough times videos still make happy thank techno brbrthank rest peace techno,14,88,"{'roberta_neg': 0.0048854994, 'roberta_neu': 0.086439416, 'roberta_pos': 0.90867513}",2
3523,Technoblade,currently laying bed 230 soaking pillow tears rewatching series you39ve done could ever know many people hope one day far distant future catch finally get shake hand,27,165,"{'roberta_neg': 0.10405712, 'roberta_neu': 0.5782064, 'roberta_pos': 0.31773645}",1
3525,Technoblade,even happened video made laugh like nothing ever changed goes show immortal technos spirit lt3,15,94,"{'roberta_neg': 0.0049048592, 'roberta_neu': 0.09926291, 'roberta_pos': 0.89583224}",2
3528,Technoblade,rip techno helped many others rest well,7,39,"{'roberta_neg': 0.0071061896, 'roberta_neu': 0.15126894, 'roberta_pos': 0.84162486}",2
3529,Technoblade,already rewatching legends stuff it’s sad see leave earth rip techno,11,68,"{'roberta_neg': 0.8424072, 'roberta_neu': 0.13805221, 'roberta_pos': 0.019540591}",0
3530,Technoblade,love coming back rewatching videos seeing little damage thought lot back,11,72,"{'roberta_neg': 0.0123691065, 'roberta_neu': 0.11766383, 'roberta_pos': 0.8699671}",2
3533,Technoblade,rewatching videos brings smile face rip techno,7,46,"{'roberta_neg': 0.0060193613, 'roberta_neu': 0.16150892, 'roberta_pos': 0.8324717}",2
3534,Technoblade,love floof judges techno39s entire existence,6,44,"{'roberta_neg': 0.02114353, 'roberta_neu': 0.26929143, 'roberta_pos': 0.709565}",2
3543,Technoblade,techno taught importance sheer dedication discipline fly high techno,9,68,"{'roberta_neg': 0.026567152, 'roberta_neu': 0.71981, 'roberta_pos': 0.25362286}",1
3544,Technoblade,talk real life dog named floof killer orphans blood god dog named floof,13,71,"{'roberta_neg': 0.6421291, 'roberta_neu': 0.3421719, 'roberta_pos': 0.015698968}",0
3546,Technoblade,watching old vids guy forever legend,6,36,"{'roberta_neg': 0.0097295195, 'roberta_neu': 0.3670278, 'roberta_pos': 0.6232427}",2
3547,Technoblade,realized one people canceled trade helmet foogle potato war,9,59,"{'roberta_neg': 0.4086568, 'roberta_neu': 0.5710532, 'roberta_pos': 0.020289997}",1
3548,Technoblade,rest easy techno impacted many people truly inspiring many it39s sad see go soon rest well 💔😕😞,17,94,"{'roberta_neg': 0.20262301, 'roberta_neu': 0.40260363, 'roberta_pos': 0.39477336}",1
3552,Technoblade,techno really knows history,4,27,"{'roberta_neg': 0.065693006, 'roberta_neu': 0.69298106, 'roberta_pos': 0.24132587}",1
3553,Technoblade,one best videos made wish make make people happy laughing fun minecraft fun still would love community grown came back,20,118,"{'roberta_neg': 0.0022756292, 'roberta_neu': 0.019501606, 'roberta_pos': 0.9782227}",2
3554,Technoblade,miss may rest peace,4,19,"{'roberta_neg': 0.024301596, 'roberta_neu': 0.3876072, 'roberta_pos': 0.5880912}",2
3556,Technoblade,that’s said “i forgive past crimes” got enchanted mutton foogle potato war,12,74,"{'roberta_neg': 0.46577352, 'roberta_neu': 0.4903264, 'roberta_pos': 0.043900125}",1
3557,Technoblade,techno asking obi defender needed hug responding techno going give hug wholesome thing every seen,15,97,"{'roberta_neg': 0.017048463, 'roberta_neu': 0.4892414, 'roberta_pos': 0.4937102}",2
3558,Technoblade,rest easy love techno 🕊,5,23,"{'roberta_neg': 0.002726636, 'roberta_neu': 0.078204006, 'roberta_pos': 0.91906935}",2
3559,Technoblade,hey guys always legend us hearts,6,32,"{'roberta_neg': 0.006011939, 'roberta_neu': 0.14374165, 'roberta_pos': 0.8502464}",2
3560,Technoblade,rest peace techno,3,17,"{'roberta_neg': 0.02529283, 'roberta_neu': 0.42834032, 'roberta_pos': 0.5463669}",2
3561,Technoblade,ayo techno miss much😭😭,4,22,"{'roberta_neg': 0.6328251, 'roberta_neu': 0.3072393, 'roberta_pos': 0.059935644}",0
3562,Technoblade,lost grand one rip alex,5,23,"{'roberta_neg': 0.52970225, 'roberta_neu': 0.4404287, 'roberta_pos': 0.029869031}",0
3565,Technoblade,rest peace man,3,14,"{'roberta_neg': 0.0631032, 'roberta_neu': 0.52181387, 'roberta_pos': 0.41508296}",1
3566,Technoblade,make video show us kit bsg,6,26,"{'roberta_neg': 0.07471524, 'roberta_neu': 0.83088577, 'roberta_pos': 0.09439891}",1
3569,Technoblade,legend 🚀,2,8,"{'roberta_neg': 0.066154085, 'roberta_neu': 0.5413901, 'roberta_pos': 0.3924558}",1
3570,Technoblade,bye techno 😭,3,12,"{'roberta_neg': 0.5271418, 'roberta_neu': 0.39664957, 'roberta_pos': 0.07620861}",0
3571,Technoblade,fly high 🕊️🕊️🕊️🕊️,3,17,"{'roberta_neg': 0.0049973023, 'roberta_neu': 0.22700085, 'roberta_pos': 0.76800185}",2
3572,Technoblade,almost hit 13mill 😔,4,19,"{'roberta_neg': 0.43174592, 'roberta_neu': 0.5099297, 'roberta_pos': 0.058324393}",1
3573,Technoblade,miss u mann,3,11,"{'roberta_neg': 0.113119364, 'roberta_neu': 0.6161593, 'roberta_pos': 0.27072135}",1
3574,Technoblade,heyyy techno ur dead rn i39m dying crying,8,41,"{'roberta_neg': 0.92563224, 'roberta_neu': 0.06672425, 'roberta_pos': 0.007643497}",0
3575,Technoblade,slay,1,4,"{'roberta_neg': 0.26764175, 'roberta_neu': 0.5779497, 'roberta_pos': 0.15440851}",1
3578,Technoblade,yes,1,3,"{'roberta_neg': 0.13857579, 'roberta_neu': 0.44127697, 'roberta_pos': 0.42014718}",1
3579,Technoblade,😢,1,1,"{'roberta_neg': 0.6474756, 'roberta_neu': 0.28426054, 'roberta_pos': 0.06826385}",0
3580,Technoblade,small youtuber,2,14,"{'roberta_neg': 0.056218486, 'roberta_neu': 0.81852025, 'roberta_pos': 0.12526132}",1
3581,Technoblade,2 months bruh,3,13,"{'roberta_neg': 0.24032313, 'roberta_neu': 0.6586257, 'roberta_pos': 0.1010511}",1
3582,Technoblade,u thing compass activate taunt,5,30,"{'roberta_neg': 0.17043017, 'roberta_neu': 0.77380687, 'roberta_pos': 0.055763002}",1
3583,Technoblade,got sharpness 2 kb 1 diamond sword 8 levels glorious,10,52,"{'roberta_neg': 0.007575365, 'roberta_neu': 0.26496622, 'roberta_pos': 0.7274584}",2
3584,Technoblade,love ur vids techno keep goin,6,29,"{'roberta_neg': 0.002653495, 'roberta_neu': 0.019711547, 'roberta_pos': 0.977635}",2
3586,Technoblade,don39t buff tim 8 nerf 7 remove pants move 8only thing tim needs buff level 10,16,78,"{'roberta_neg': 0.25561106, 'roberta_neu': 0.71351945, 'roberta_pos': 0.030869508}",1
3587,Technoblade,buff rogue,2,10,"{'roberta_neg': 0.19204657, 'roberta_neu': 0.72074825, 'roberta_pos': 0.08720514}",1
3588,Technoblade,old techno best techno,4,22,"{'roberta_neg': 0.04350088, 'roberta_neu': 0.67207354, 'roberta_pos': 0.28442565}",1
3589,Technoblade,buff tim move iron leggings 8,6,29,"{'roberta_neg': 0.054002985, 'roberta_neu': 0.87007457, 'roberta_pos': 0.07592255}",1
3590,Technoblade,fov,1,3,"{'roberta_neg': 0.20489503, 'roberta_neu': 0.53948474, 'roberta_pos': 0.25562015}",1
3591,Technoblade,tim 8,2,5,"{'roberta_neg': 0.18380536, 'roberta_neu': 0.5960015, 'roberta_pos': 0.22019306}",1
3592,Technoblade,ur nerd,2,7,"{'roberta_neg': 0.50864273, 'roberta_neu': 0.39645576, 'roberta_pos': 0.0949015}",0
3593,Technoblade,buff de kitz,3,12,"{'roberta_neg': 0.1825884, 'roberta_neu': 0.68222564, 'roberta_pos': 0.135186}",1
3594,Technoblade,lol remember video wasnt like ur first vid channel,9,50,"{'roberta_neg': 0.1610271, 'roberta_neu': 0.7662652, 'roberta_pos': 0.07270775}",1
3595,Technoblade,challenge lvl 30 enchant,4,24,"{'roberta_neg': 0.08732289, 'roberta_neu': 0.8538599, 'roberta_pos': 0.0588172}",1
3596,Technoblade,op,1,2,"{'roberta_neg': 0.31598714, 'roberta_neu': 0.5550743, 'roberta_pos': 0.12893862}",1
3598,Technoblade,got sharp 2 fire 1 iron sword yesterday level 8,10,47,"{'roberta_neg': 0.014647271, 'roberta_neu': 0.8906942, 'roberta_pos': 0.094658464}",1
3599,Technoblade,techno made kill record recorded u watch video channel,9,54,"{'roberta_neg': 0.19625317, 'roberta_neu': 0.7739939, 'roberta_pos': 0.029752828}",1
3600,Technoblade,buff pig pls today got rekt 5 people works,9,42,"{'roberta_neg': 0.03900901, 'roberta_neu': 0.792059, 'roberta_pos': 0.16893205}",1
3601,Technoblade,actually techno survival dont beluga whale consult spongebob song,9,65,"{'roberta_neg': 0.18220523, 'roberta_neu': 0.75824857, 'roberta_pos': 0.059546214}",1
3602,Technoblade,still haven39t forgotten happy birthday techno miss everyday,8,60,"{'roberta_neg': 0.020199938, 'roberta_neu': 0.12812775, 'roberta_pos': 0.85167235}",2
3603,Technoblade,love could always man39s keyboard go click clack click clack,10,60,"{'roberta_neg': 0.06479965, 'roberta_neu': 0.67752844, 'roberta_pos': 0.2576719}",1
3605,Technoblade,rip man myth legend,4,19,"{'roberta_neg': 0.045074884, 'roberta_neu': 0.7723485, 'roberta_pos': 0.18257661}",1
3606,Technoblade,miss spectator chat,3,19,"{'roberta_neg': 0.2563494, 'roberta_neu': 0.6806884, 'roberta_pos': 0.062962204}",1
3609,Technoblade,rip techno,2,10,"{'roberta_neg': 0.12813376, 'roberta_neu': 0.714754, 'roberta_pos': 0.1571122}",1
3610,Technoblade,rip techno,2,10,"{'roberta_neg': 0.1281337, 'roberta_neu': 0.71475405, 'roberta_pos': 0.1571122}",1
3611,Technoblade,rip man 🥲,3,9,"{'roberta_neg': 0.009258237, 'roberta_neu': 0.15938036, 'roberta_pos': 0.8313614}",2
3612,Technoblade,finally made videos public eiiiii,5,33,"{'roberta_neg': 0.006188776, 'roberta_neu': 0.4537218, 'roberta_pos': 0.5400895}",2
3613,Technoblade,please stop ruining comments older videos keep authentic guys hard,10,66,"{'roberta_neg': 0.5113666, 'roberta_neu': 0.42448127, 'roberta_pos': 0.0641521}",0
3614,Technoblade,legend,1,6,"{'roberta_neg': 0.23020181, 'roberta_neu': 0.52724224, 'roberta_pos': 0.24255598}",1
3615,Technoblade,people still comment older videos,5,33,"{'roberta_neg': 0.24657294, 'roberta_neu': 0.71343696, 'roberta_pos': 0.039990142}",1
3616,Technoblade,pack name,2,9,"{'roberta_neg': 0.2137872, 'roberta_neu': 0.57971644, 'roberta_pos': 0.20649633}",1
3618,Technoblade,happy birthday,2,14,"{'roberta_neg': 0.0025818653, 'roberta_neu': 0.019082483, 'roberta_pos': 0.9783357}",2
3619,Technoblade,happy birthday techno,3,21,"{'roberta_neg': 0.002134931, 'roberta_neu': 0.020492699, 'roberta_pos': 0.97737235}",2
3620,Technoblade,nickname challenge everytime get kill stop nick something thats close dead players name can39t fight people nick even cleanup,19,125,"{'roberta_neg': 0.87126726, 'roberta_neu': 0.12451423, 'roberta_pos': 0.004218462}",0
3625,Technoblade,“i’m gonna mine guy’s dreams”,5,29,"{'roberta_neg': 0.1313121, 'roberta_neu': 0.7447595, 'roberta_pos': 0.12392842}",1
3626,Technoblade,damn thumbnail looks sick,4,25,"{'roberta_neg': 0.93327385, 'roberta_neu': 0.056699023, 'roberta_pos': 0.0100270435}",0
3628,Technoblade,happy birthday,2,14,"{'roberta_neg': 0.0025818653, 'roberta_neu': 0.019082483, 'roberta_pos': 0.9783357}",2
3630,Technoblade,quotsecond trips nerdsquot 2 minutes later quotim going back inquot,10,67,"{'roberta_neg': 0.075725995, 'roberta_neu': 0.86677486, 'roberta_pos': 0.05749915}",1
3631,Technoblade,sthe thumbnqil deserves 10k likes video,6,39,"{'roberta_neg': 0.033700846, 'roberta_neu': 0.6066471, 'roberta_pos': 0.35965207}",1
3632,Technoblade,subs r going crazy keep going ps happy birthday,9,47,"{'roberta_neg': 0.0023628199, 'roberta_neu': 0.029346194, 'roberta_pos': 0.968291}",2
3635,Technoblade,happy birthday first,3,20,"{'roberta_neg': 0.0019812847, 'roberta_neu': 0.032467302, 'roberta_pos': 0.9655514}",2
3637,Technoblade,nice minemen pvp vid youngman,5,29,"{'roberta_neg': 0.004118734, 'roberta_neu': 0.14591578, 'roberta_pos': 0.8499655}",2
3638,Technoblade,yes finally notice ladder chest,5,31,"{'roberta_neg': 0.045929313, 'roberta_neu': 0.6472346, 'roberta_pos': 0.306836}",1
3640,Technoblade,best texture pack ever mean look happy snowman looks,9,52,"{'roberta_neg': 0.0028532047, 'roberta_neu': 0.030624904, 'roberta_pos': 0.9665219}",2
3643,Technoblade,thumbnail godly,2,15,"{'roberta_neg': 0.05051156, 'roberta_neu': 0.43071356, 'roberta_pos': 0.51877487}",2
3644,Technoblade,happy technoday,2,15,"{'roberta_neg': 0.003093072, 'roberta_neu': 0.06525884, 'roberta_pos': 0.93164814}",2
3647,Technoblade,snowman adorable lt3,3,20,"{'roberta_neg': 0.00409212, 'roberta_neu': 0.09527767, 'roberta_pos': 0.9006302}",2
3648,Technoblade,saw ad i39m addicted,4,20,"{'roberta_neg': 0.23453791, 'roberta_neu': 0.5892693, 'roberta_pos': 0.17619279}",1
3649,Technoblade,happy birthday techno,3,21,"{'roberta_neg': 0.002134931, 'roberta_neu': 0.020492699, 'roberta_pos': 0.97737235}",2
3650,Technoblade,i39ll allow bullied soccer brbrbri mean football,7,48,"{'roberta_neg': 0.6886399, 'roberta_neu': 0.2920389, 'roberta_pos': 0.019321257}",0
3651,Technoblade,happy birthday techno,3,21,"{'roberta_neg': 0.002134931, 'roberta_neu': 0.020492699, 'roberta_pos': 0.97737235}",2
3652,Technoblade,rip legend 🙏😢💐,3,14,"{'roberta_neg': 0.023234634, 'roberta_neu': 0.25814778, 'roberta_pos': 0.7186176}",2
3654,Technoblade,legend 🚀,2,8,"{'roberta_neg': 0.066154085, 'roberta_neu': 0.5413901, 'roberta_pos': 0.3924558}",1
3655,Technoblade,mother,1,6,"{'roberta_neg': 0.27156082, 'roberta_neu': 0.6127699, 'roberta_pos': 0.11566925}",1
3656,Technoblade,rip,1,3,"{'roberta_neg': 0.23444588, 'roberta_neu': 0.58035547, 'roberta_pos': 0.18519862}",1
3657,Technoblade,best escape ever,3,16,"{'roberta_neg': 0.013765005, 'roberta_neu': 0.11161371, 'roberta_pos': 0.8746213}",2
3658,Technoblade,plot protection side,3,20,"{'roberta_neg': 0.20998956, 'roberta_neu': 0.6407372, 'roberta_pos': 0.14927329}",1
3660,Technoblade,nice vid techno keep good work,6,30,"{'roberta_neg': 0.003052757, 'roberta_neu': 0.027798384, 'roberta_pos': 0.9691488}",2
3661,Technoblade,noticed title sucked made caps tons buzz words i39ll get 10 mil views,13,69,"{'roberta_neg': 0.6712409, 'roberta_neu': 0.28417614, 'roberta_pos': 0.044582885}",0
3663,Technoblade,oh god awesome 3 many cool people 1 mega skywars team,11,53,"{'roberta_neg': 0.0019084029, 'roberta_neu': 0.0115383975, 'roberta_pos': 0.98655325}",2
3664,Technoblade,lmao knew recording intro xdbrhe looking time i39m famous cause i39m technos vid yayay xd,15,89,"{'roberta_neg': 0.013617311, 'roberta_neu': 0.34821856, 'roberta_pos': 0.63816404}",2
3666,Technoblade,make funny moments montage lol,5,30,"{'roberta_neg': 0.011758541, 'roberta_neu': 0.25152677, 'roberta_pos': 0.7367147}",2
3667,Technoblade,must nice get teamkilled mega xd that39s kind people end team,11,61,"{'roberta_neg': 0.015399222, 'roberta_neu': 0.16441473, 'roberta_pos': 0.8201861}",2
3669,Technoblade,techno quazar must dreaming xd,5,30,"{'roberta_neg': 0.10647517, 'roberta_neu': 0.76210016, 'roberta_pos': 0.1314247}",1
3670,Technoblade,techno makes greatest escape ever die nerd knocks map wood shovelbr,11,67,"{'roberta_neg': 0.123648904, 'roberta_neu': 0.547814, 'roberta_pos': 0.32853714}",1
3671,Technoblade,quality content,2,15,"{'roberta_neg': 0.083548374, 'roberta_neu': 0.5980566, 'roberta_pos': 0.31839493}",1
3672,Technoblade,love kind video little things like captions make laugh moar pls lt3,12,67,"{'roberta_neg': 0.0017804068, 'roberta_neu': 0.018863045, 'roberta_pos': 0.9793565}",2
3674,Technoblade,wtf lucky,2,9,"{'roberta_neg': 0.57839984, 'roberta_neu': 0.35515505, 'roberta_pos': 0.06644508}",0
3676,Technoblade,i39m early,2,10,"{'roberta_neg': 0.11707862, 'roberta_neu': 0.75158453, 'roberta_pos': 0.13133684}",1
3677,Technoblade,techno feeling prison would start throwing rocks floor staircase cops come bow spam hell,14,88,"{'roberta_neg': 0.7841954, 'roberta_neu': 0.20527676, 'roberta_pos': 0.010527834}",0
3678,Technoblade,17 blockhit visual graphics 18,5,30,"{'roberta_neg': 0.055451058, 'roberta_neu': 0.8965276, 'roberta_pos': 0.04802139}",1
3679,Technoblade,quazaar got banned,3,18,"{'roberta_neg': 0.6013588, 'roberta_neu': 0.3763703, 'roberta_pos': 0.022270976}",0
3680,Technoblade,rec quazarr tho hes funny af,6,28,"{'roberta_neg': 0.0095179705, 'roberta_neu': 0.21263744, 'roberta_pos': 0.77784467}",2
3682,Technoblade,techno mode best grinding solo mega team,7,40,"{'roberta_neg': 0.005322009, 'roberta_neu': 0.30011013, 'roberta_pos': 0.69456786}",2
